0,0.284762 
1,0.279560 
2,0.274454 
3,0.228344 
4,0.206231 
5,0.198520 
6,0.196277 
7,0.191893 
8,0.187341 
9,0.185402 
10,0.184136 
11,0.182880 
12,0.186438 
13,0.182073 
14,0.180109 
15,0.180512 
16,0.179904 
17,0.180568 
18,0.178969 
19,0.182512 
20,0.179534 
21,0.180868 
22,0.178888 
23,0.178841 
24,0.178283 
25,0.177503 
26,0.177284 
27,0.178015 
28,0.177617 
29,0.176595 
30,0.177180 
31,0.176816 
32,0.177678 
33,0.176356 
34,0.178870 
35,0.176935 
36,0.179990 
37,0.177011 
38,0.176822 
39,0.178225 
40,0.178277 
41,0.181571 
42,0.176472 
43,0.177782 
44,0.176998 
45,0.179658 
46,0.177383 
47,0.177719 
48,0.177404 
49,0.180288 
50,0.178217 
51,0.179109 
52,0.176260 
53,0.176105 
54,0.179925 
55,0.180308 
56,0.177691 
57,0.178762 
58,0.179143 
59,0.178015 
60,0.179102 
61,0.177937 
62,0.178999 
63,0.178290 
64,0.179520 
65,0.178153 
66,0.178877 
67,0.178864 
68,0.179486 
69,0.179180 
70,0.180805 
71,0.179548 
72,0.181059 
73,0.181054 
74,0.181896 
75,0.183669 
76,0.180339 
77,0.181049 
78,0.180079 
79,0.182046 
80,0.180996 
81,0.182738 
82,0.181950 
83,0.181926 
84,0.181390 
85,0.180498 
86,0.183448 
87,0.182660 
88,0.183470 
89,0.183620 
90,0.181587 
91,0.181126 
92,0.184662 
93,0.183799 
94,0.183537 
95,0.183007 
96,0.186059 
97,0.182905 
98,0.181249 
99,0.184305 
